epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,848.418,0.96843,0.75794,1.13095,0.9102045675708798,0.7393711947380301,0.8073387929282746,0.46747542970391853,1.512267594004569,0.8700271365125638,1.4197947773340525,0.000495041,0.000495041,0.000495041
25,882.264,0.96545,0.76124,1.1342,0.9347230224068942,0.7303770285229677,0.8021524464799332,0.45733896895261084,1.4298382307243869,0.8184542744204311,1.3993442477072258,0.000477043,0.000477043,0.000477043
26,916.033,0.94949,0.74946,1.12299,0.9472068659376229,0.7401676984343558,0.8226106560761809,0.46198644191801497,1.4235733200991127,0.7998221954024354,1.3696626596401809,0.000459045,0.000459045,0.000459045
27,949.632,0.93318,0.72302,1.11205,0.9089534007936604,0.7558620486063102,0.8216537695748829,0.46995117903952127,1.4348220880531464,0.8306690184268471,1.3991694304820466,0.000441047,0.000441047,0.000441047
28,983.429,0.92088,0.70968,1.11106,0.9264156380041143,0.7346665572060026,0.8390149387044614,0.5088817993226931,1.3054508311548247,0.7621543433538202,1.295840687449904,0.000423049,0.000423049,0.000423049
29,1018.28,0.91365,0.69481,1.10291,0.9189170603608412,0.7550227944476816,0.8207488020486893,0.47289012014040915,1.4097877779513832,0.7812490669304102,1.3369073016780513,0.00040505,0.00040505,0.00040505
30,1051.92,0.90211,0.68707,1.09641,0.9223185718441638,0.7232327634397477,0.8248200232458321,0.4919897234426864,1.3993552563869236,0.7940065900503886,1.3524162420482928,0.000387052,0.000387052,0.000387052
31,1085.62,0.90331,0.68621,1.09144,0.9101980383696966,0.7727757447108635,0.8300299750794677,0.4746655843442666,1.4207838015395287,0.801252901919677,1.361572742082622,0.000369054,0.000369054,0.000369054
32,1120.15,0.8916,0.67486,1.09206,0.9476109079477508,0.7701882820902647,0.834755263426997,0.5169850642060575,1.292589698960136,0.7568515537890016,1.2592925087154878,0.000351056,0.000351056,0.000351056
33,1154.66,0.88199,0.66029,1.08663,0.8938352207222511,0.7746076940819191,0.839104583864899,0.5065999180892724,1.3150076722152624,0.7477596088955865,1.291391267349835,0.000333058,0.000333058,0.000333058
34,1189.26,0.86389,0.64515,1.07336,0.923446069987829,0.7545029037965174,0.8375863719753498,0.5205859549331355,1.285101325412872,0.7276316939310428,1.275099950518117,0.000315059,0.000315059,0.000315059
35,1223.78,0.86014,0.64573,1.07028,0.9389329074904635,0.7663587782169645,0.8478271577156364,0.531214395026857,1.3299766272867324,0.7296725392697643,1.2799490473799955,0.000297061,0.000297061,0.000297061
36,1258.25,0.85408,0.63789,1.06849,0.9587187431359308,0.750293279547117,0.8384943046502779,0.5204064176009653,1.3278999808725032,0.7244466952050216,1.3069697204089397,0.000279063,0.000279063,0.000279063
37,1292.9,0.8339,0.616,1.05857,0.9631404044450733,0.7361517749894797,0.8435737084426113,0.5162720554268689,1.3082119291878942,0.7075307311674492,1.2878333422825234,0.000261065,0.000261065,0.000261065
38,1327.22,0.81839,0.60922,1.053,0.9495600645790606,0.7593754290267152,0.8356516607000228,0.5321553400678846,1.308406754558679,0.6993978764243044,1.2940225197920057,0.000243067,0.000243067,0.000243067
39,1361.71,0.82555,0.6059,1.05152,0.9409963643699558,0.773016672138793,0.8426067551765222,0.5301265111653314,1.2761841235664417,0.7105659487779981,1.2637974439187065,0.000225068,0.000225068,0.000225068
40,1397.09,0.80734,0.594,1.04434,0.9327258004961051,0.7673243431324965,0.8571879679845703,0.5430557309912201,1.2720442010690245,0.7045593467211901,1.2661284331986447,0.00020707,0.00020707,0.00020707
41,1487.95,0.82108,0.53331,1.04422,0.9249485007514724,0.7585243133890213,0.834559841407435,0.5394582865752681,1.2668111045220583,0.6881406009630734,1.2302367837980777,0.000189072,0.000189072,0.000189072
42,1521.27,0.79991,0.51539,1.03451,0.9399634222095009,0.7580961062382217,0.8504139273689345,0.5259928983366066,1.3132768721364092,0.7161641201750272,1.274751772737162,0.000171074,0.000171074,0.000171074
43,1554.38,0.78965,0.50427,1.02723,0.963702170832638,0.7414167297727547,0.8439572833314105,0.5307548861519257,1.266548170218513,0.7019335705058383,1.2919940397546703,0.000153076,0.000153076,0.000153076
44,1587.6,0.76939,0.48821,1.01595,0.9607411751250958,0.7641149346552512,0.8573845571729298,0.5116415215139092,1.3086724676165618,0.7078515727755554,1.2943162111179087,0.000135077,0.000135077,0.000135077
45,1620.73,0.75478,0.47925,1.00872,0.9513392992207258,0.7804431350839878,0.858510802337955,0.5249111148085442,1.3029512665004894,0.706965602250444,1.2969544665862816,0.000117079,0.000117079,0.000117079
46,1654.28,0.74602,0.47073,1.00629,0.9150499485644342,0.7893717786899546,0.8702550571912981,0.5426963867246121,1.248594723253174,0.6636204726918342,1.2688325052592908,9.9081e-05,9.9081e-05,9.9081e-05
47,1688.52,0.73459,0.46815,1.00019,0.9337378026493288,0.782566846459879,0.8612825710496809,0.5494867950794107,1.207487984028448,0.6634151264665131,1.2397806507833933,8.10828e-05,8.10828e-05,8.10828e-05
48,1721.72,0.72166,0.45666,0.99135,0.914700710944833,0.790831362192049,0.8658075245897826,0.5489271543493193,1.1988199776861475,0.661217928303374,1.2255964532891461,6.30846e-05,6.30846e-05,6.30846e-05
49,1754.89,0.72185,0.45483,0.99258,0.9280224468239522,0.7755635146901549,0.8521783051457938,0.5445279955586725,1.2331962389348519,0.6561032458068892,1.2312141969527146,4.50864e-05,4.50864e-05,4.50864e-05
50,1787.95,0.70931,0.44686,0.9848,0.9543793536249693,0.7670035342510003,0.8650544230623541,0.5470369635553686,1.1952867878849853,0.663615429094742,1.2221324991989455,2.70882e-05,2.70882e-05,2.70882e-05
